"","X","Player","Pos","Height","Weight","Age","Age21"
"396",396,"Greg Smith","F",82,250,22,">21"
"397",397,"Jon Leuer","F",82,228,24,">21"
"398",398,"Ed Davis","C",82,228,24,">21"
"399",399,"Anthony Davis","F",82,220,20,"<=21"
"400",400,"Ryan Anderson","F",82,240,25,">21"
"401",401,"Matt Bonner","F",82,235,33,">21"
"402",402,"Aron Baynes","F",82,260,26,">21"
"403",403,"Danilo Gallinari","F",82,225,25,">21"
"404",404,"Ronny Turiaf","C",82,245,30,">21"
"405",405,"Kevin Love","F",82,250,25,">21"
"406",406,"Nick Collison","F",82,255,32,">21"
"407",407,"Kendrick Perkins","C",82,280,28,">21"
"408",408,"Serge Ibaka","F",82,235,24,">21"
"409",409,"Daniel Orton","C",82,255,23,">21"
"410",410,"Grant Jerrett","F",82,232,20,"<=21"
"411",411,"Thomas Robinson","F",82,237,22,">21"
"412",412,"Derrick Favors","F",82,246,22,">21"
"413",413,"Marreese Speights","C",82,245,26,">21"
"414",414,"Lamar Odom","F",82,230,33,">21"
"415",415,"Blake Griffin","F",82,251,24,">21"
"416",416,"Jordan Hill","F",82,235,26,">21"
"417",417,"Miles Plumlee","F",82,245,25,">21"
"418",418,"Markieff Morris","F",82,245,24,">21"
"419",419,"Vitor Faverani","C",83,260,25,">21"
"420",420,"Andray Blatche","C",83,260,27,">21"
"421",421,"Kevin Garnett","F",83,253,37,">21"
"422",422,"Tim Ohlbrecht","F",83,255,25,">21"
"423",423,"Arnett Moultrie","F",83,230,22,">21"
"424",424,"Kwame Brown","C",83,270,31,">21"
"425",425,"Austin Daye","F",83,200,25,">21"
"426",426,"Joakim Noah","C",83,232,28,">21"
"427",427,"Anderson Varejao","C",83,260,30,">21"
"428",428,"Greg Monroe","C",83,250,23,">21"
"429",429,"Charlie Villanueva","F",83,232,29,">21"
"430",430,"Ian Mahinmi","C",83,230,26,">21"
"431",431,"Larry Sanders","C",83,235,24,">21"
"432",432,"Zaza Pachulia","C",83,275,29,">21"
"433",433,"John Henson","C",83,220,22,">21"
"434",434,"Chris Bosh","C",83,235,29,">21"
"435",435,"Jan Vesely","F",83,240,23,">21"
"436",436,"Nene ","F",83,250,31,">21"
